resolution,app,timestamp,isReIntervention,interventionDuration,interventionType,timezone
openedApp,tikTok,1753841656.160042,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753847683.22188,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753848184.882835,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753853173.298455,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753853789.84899,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753854405.467134,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753855317.5133948,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753857685.533609,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753858301.187169,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753885069.432024,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753886012.09393,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753887524.7197042,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1753887689.041892,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753887700.379575,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753899558.478791,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753907445.433192,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753916126.944273,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753920075.644911,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753924538.3407679,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753936601.0897331,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753939207.322281,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753940145.9145498,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1753941118.071861,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753941054.332963,False,,,Europe/Zurich
closedApp,tikTok,1753941114.332963,False,,,Europe/Zurich
dismissedAppOpening,tikTok,1753941114.332963,False,,,Europe/Zurich
dismissedAppOpening,tikTok,1753941135.295008,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753942771.186846,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753946226.798691,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753947122.312304,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753947738.1995869,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753952474.439714,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753976784.881504,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753989935.220755,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753990555.112588,False,1.5,breathingExercise,Europe/Zurich
