interventionDuration,resolution,timeIntervalUntilReIntervention,timezone,timestamp,app,interventionType,isReIntervention,purpose
,openedApp,,Europe/Kiev,1753620776.9198709,instagram,,False,
,closedApp,,Europe/Kiev,1753621076.9198709,instagram,,False,
,dismissedAppOpening,,Europe/Kiev,1753621076.9198709,instagram,,False,
6.0,openedApp,420.0,Europe/Kiev,1753621632.9707031,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753623166.294436,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753623229.286576,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753624625.3932981,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753625050.040852,youtube,askForTimeLimit,False,
6.0,openedApp,180.0,Europe/Kiev,1753625138.427319,youtube,breathingExercise,True,Stay In the Loop
6.0,dismissedAppOpening,,Europe/Kiev,1753625770.3991199,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753626213.48188,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753626265.6457849,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753628193.67211,telegram,askForTimeLimit,False,
6.0,openedApp,300.0,Europe/Kiev,1753629727.597643,youtube,askForTimeLimit,False,
6.0,openedApp,300.0,Europe/Kiev,1753629791.9218922,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753630001.741301,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753635969.2036428,pinterest,askForTimeLimit,False,
6.0,openedApp,420.0,Europe/Kiev,1753639720.8284469,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753639903.241358,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753640180.371902,telegram,breathingExercise,False,
6.0,openedApp,240.0,Europe/Kiev,1753641621.5484328,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753641740.5864592,pinterest,askForTimeLimit,False,
6.0,openedApp,1200.0,Europe/Kiev,1753641975.7643871,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753642345.449234,youtube,askForTimeLimit,False,
6.0,openedApp,540.0,Europe/Kiev,1753643692.489842,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753644234.398281,telegram,askForTimeLimit,False,
6.0,openedApp,300.0,Europe/Kiev,1753644257.552662,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753644263.9623451,telegram,askForTimeLimit,False,
6.0,openedApp,300.0,Europe/Kiev,1753644283.787576,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753644582.9725509,telegram,askForTimeLimit,False,
6.0,openedApp,420.0,Europe/Kiev,1753644647.1488209,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753644881.317298,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753645463.194119,telegram,breathingExercise,False,
6.0,openedApp,60.0,Europe/Kiev,1753645490.187901,telegram,breathingExercise,False,Message
6.0,dismissedAppOpening,,Europe/Kiev,1753646467.373311,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753646673.859438,telegram,askForTimeLimit,False,
6.0,openedApp,360.0,Europe/Kiev,1753649293.731151,telegram,askForTimeLimit,False,
6.0,openedApp,360.0,Europe/Kiev,1753649893.42278,telegram,askForTimeLimit,False,
6.0,openedApp,840.0,Europe/Kiev,1753650275.713597,telegram,breathingExercise,False,Message
6.0,dismissedAppOpening,,Europe/Kiev,1753650469.930681,telegram,askForTimeLimit,False,
,openedApp,,Europe/Kiev,1753650494.241776,threads,,False,
,closedApp,,Europe/Kiev,1753650794.241777,threads,,False,
,dismissedAppOpening,,Europe/Kiev,1753650794.241777,threads,,False,
6.0,openedApp,360.0,Europe/Kiev,1753650803.147911,telegram,askForTimeLimit,False,
6.0,openedApp,1800.0,Europe/Kiev,1753651192.6123672,telegram,breathingExercise,True,Message
6.0,openedApp,780.0,Europe/Kiev,1753652584.70287,telegram,askForTimeLimit,False,
6.0,openedApp,840.0,Europe/Kiev,1753652658.692317,telegram,askForTimeLimit,False,
6.0,openedApp,900.0,Europe/Kiev,1753653636.2778301,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753653883.4417238,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753653905.3608298,pinterest,askForTimeLimit,False,
6.0,openedApp,360.0,Europe/Kiev,1753653961.000272,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753654266.045765,telegram,askForTimeLimit,False,
6.0,openedApp,840.0,Europe/Kiev,1753654351.7925348,telegram,breathingExercise,True,Bored
6.0,openedApp,60.0,Europe/Kiev,1753654550.13124,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753654574.578003,youtube,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753654579.0876231,youtube,askForTimeLimit,False,
