timestamp,app,resolution,isReIntervention,interventionDuration,timezone,interventionType
1750997081.5931811,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750997526.306061,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751001817.002526,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751002418.8554878,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751005901.8983212,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751007581.6789541,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751008264.588093,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751009497.239767,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751009627.128253,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751015115.4189138,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751041635.685574,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751071724.3139849,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751071758.4927502,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751079289.170772,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751080842.67424,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751081364.477583,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751081752.6035318,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751081873.2429662,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751088571.7043939,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751088727.0041351,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751092666.2119598,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751095341.886365,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1751096772.6886191,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751114201.599175,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751114341.9228659,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751117562.08162,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751117606.479995,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751124798.157311,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1751125619.288501,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
