interventionDuration,isReIntervention,timezone,app,interventionType,resolution,timestamp,purpose
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750596325.888245,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750596343.556978,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750598651.692332,逃跑/避开
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1750601693.111641,
6,False,Asia/Shanghai,red,breathingExercise,dismissedAppOpening,1750605008.09796,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750637738.4540858,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750644533.146017,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750644535.40772,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750644550.327379,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750646607.8645039,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750647527.241795,放松
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750647755.758405,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750650445.230197,失眠
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750655276.466556,放松
