resolution,isReIntervention,timestamp,timezone,app,interventionDuration,interventionType
closedApp,False,1752503498.222553,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752503498.222553,America/Sao_Paulo,instagram,,
openedApp,False,1752506886.8885012,America/Sao_Paulo,instagram,,
closedApp,False,1752507066.8885021,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752507066.8885021,America/Sao_Paulo,instagram,,
openedApp,False,1752506920.515168,America/Sao_Paulo,instagram,,
closedApp,False,1752507100.515168,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752507100.515168,America/Sao_Paulo,instagram,,
openedApp,False,1752524422.046751,America/Sao_Paulo,instagram,,
closedApp,False,1752524602.046751,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752524602.046751,America/Sao_Paulo,instagram,,
openedApp,False,1752528674.9977589,America/Sao_Paulo,instagram,,
closedApp,False,1752528854.9977589,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752528854.9977589,America/Sao_Paulo,instagram,,
openedApp,False,1752528687.084413,America/Sao_Paulo,instagram,,
closedApp,False,1752528867.084413,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752528867.084413,America/Sao_Paulo,instagram,,
openedApp,False,1752544333.178649,America/Sao_Paulo,instagram,,
closedApp,False,1752544513.17865,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752544513.17865,America/Sao_Paulo,instagram,,
openedApp,False,1752552705.980295,America/Sao_Paulo,instagram,,
closedApp,False,1752552885.980295,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752552885.980295,America/Sao_Paulo,instagram,,
openedApp,False,1752581164.239192,America/Sao_Paulo,instagram,,
closedApp,False,1752581344.239192,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752581344.239192,America/Sao_Paulo,instagram,,
openedApp,False,1752584846.248657,America/Sao_Paulo,instagram,,
closedApp,False,1752585026.248657,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752585026.248658,America/Sao_Paulo,instagram,,
openedApp,False,1752591783.91546,America/Sao_Paulo,instagram,,
closedApp,False,1752591963.91546,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752591963.91546,America/Sao_Paulo,instagram,,
openedApp,False,1752618004.60538,America/Sao_Paulo,instagram,,
closedApp,False,1752618184.60538,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752618184.60538,America/Sao_Paulo,instagram,,
openedApp,False,1752663199.7648458,America/Sao_Paulo,instagram,,
closedApp,False,1752663379.764847,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752663379.764847,America/Sao_Paulo,instagram,,
openedApp,False,1752668120.537744,America/Sao_Paulo,instagram,,
closedApp,False,1752668300.537744,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1752668300.537744,America/Sao_Paulo,instagram,,
