resolution,timestamp,interventionDuration,interventionType,timezone,isReIntervention,app,timeIntervalUntilReIntervention
openedApp,1753109906.658517,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1753112861.2387671,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1753113671.49618,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1753116165.6588202,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1753119133.692405,6,askForTimeLimit,Europe/Paris,False,instagram,1020.0
openedApp,1753121307.4897199,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
dismissedAppOpening,1753121538.4096751,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1753121703.9238172,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
openedApp,1753121807.329992,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
openedApp,1753122289.609706,6,askForTimeLimit,Europe/Paris,False,instagram,2460.0
openedApp,1753122890.357858,6,askForTimeLimit,Europe/Paris,False,instagram,1620.0
openedApp,1753123191.995772,6,askForTimeLimit,Europe/Paris,False,instagram,1620.0
openedApp,1753131559.4443722,6,askForTimeLimit,Europe/Paris,False,instagram,960.0
openedApp,1753135960.377382,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1753161887.258359,6,askForTimeLimit,Europe/Paris,False,instagram,600.0
openedApp,1753163429.997962,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1753164026.1846871,6,askForTimeLimit,Europe/Paris,False,instagram,1020.0
openedApp,1753165118.096796,6,askForTimeLimit,Europe/Paris,False,instagram,1320.0
openedApp,1753165420.154364,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1753166112.611419,6,askForTimeLimit,Europe/Paris,False,instagram,1140.0
dismissedAppOpening,1753172184.4243932,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1753177182.907549,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1753182722.095372,6,askForTimeLimit,Europe/Paris,False,instagram,60.0
dismissedAppOpening,1753182815.59039,6,breathingExercise,Europe/Paris,True,instagram,
openedApp,1753183086.633678,6,breathingExercise,Europe/Paris,False,instagram,720.0
dismissedAppOpening,1753183175.910917,6,askForTimeLimit,Europe/Paris,False,instagram,
dismissedAppOpening,1753183518.140198,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1753185459.395225,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1753198246.802263,6,askForTimeLimit,Europe/Paris,False,instagram,960.0
openedApp,1753198544.586709,6,askForTimeLimit,Europe/Paris,False,instagram,780.0
openedApp,1753198937.895697,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1753207112.5617352,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
