resolution,isReIntervention,interventionType,timestamp,app,interventionDuration,timezone,purpose
dismissedAppOpening,False,breathingExercise,1751529474.745136,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1751547851.302223,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1751547949.7311702,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1751548703.400871,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1751554437.614173,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1751559699.669672,instagram,6,America/Vancouver,Toilet
dismissedAppOpening,False,breathingExercise,1751562092.188946,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1751569301.7246618,instagram,6,America/Edmonton,
dismissedAppOpening,False,breathingExercise,1751570667.25687,instagram,6,America/Edmonton,
openedApp,False,breathingExercise,1751571805.969872,instagram,6,America/Edmonton,Search Info
dismissedAppOpening,False,breathingExercise,1751572274.080593,instagram,6,America/Edmonton,
openedApp,False,breathingExercise,1751573689.9590359,instagram,6,America/Edmonton,Post something
dismissedAppOpening,False,breathingExercise,1751587597.3676171,instagram,6,America/Edmonton,
dismissedAppOpening,False,breathingExercise,1751587860.950616,instagram,6,America/Edmonton,
openedApp,False,breathingExercise,1751588738.4227362,instagram,6,America/Edmonton,Stay In the Loop
openedApp,False,breathingExercise,1751595289.9306068,instagram,6,America/Edmonton,Search Info
dismissedAppOpening,False,breathingExercise,1751596973.739126,instagram,6,America/Edmonton,
openedApp,False,breathingExercise,1751597918.421951,instagram,6,America/Edmonton,Post something
dismissedAppOpening,False,breathingExercise,1751598875.4509048,instagram,6,America/Edmonton,
dismissedAppOpening,False,breathingExercise,1751600975.8791041,instagram,6,America/Edmonton,
openedApp,False,breathingExercise,1751601367.8464499,instagram,6,America/Edmonton,Post something
openedApp,False,breathingExercise,1751601688.2489672,instagram,6,America/Edmonton,Relax
dismissedAppOpening,False,breathingExercise,1751602679.800834,instagram,6,America/Edmonton,
dismissedAppOpening,False,breathingExercise,1751639654.300811,instagram,6,America/Edmonton,
dismissedAppOpening,False,breathingExercise,1751639657.9384232,instagram,6,America/Edmonton,
dismissedAppOpening,False,breathingExercise,1751639786.608958,instagram,6,America/Edmonton,
openedApp,False,breathingExercise,1751639807.26974,instagram,6,America/Edmonton,Stay In the Loop
dismissedAppOpening,False,breathingExercise,1751640467.786531,instagram,6,America/Edmonton,
openedApp,False,breathingExercise,1751640485.872319,instagram,6,America/Edmonton,Stay In the Loop
dismissedAppOpening,False,breathingExercise,1751640581.4289498,instagram,6,America/Edmonton,
openedApp,False,breathingExercise,1751640664.669122,instagram,6,America/Edmonton,Relax
dismissedAppOpening,False,breathingExercise,1751650494.994886,instagram,6,America/Edmonton,
openedApp,False,breathingExercise,1751650514.7849479,instagram,6,America/Edmonton,Search Info
