resolution,timezone,timestamp,interventionType,isReIntervention,interventionDuration,app
dismissedAppOpening,America/Mexico_City,1750813348.367045,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750813543.0676641,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750816324.462576,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750819506.909234,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750857305.857724,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750862679.889639,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750867434.542156,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750880952.6129699,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750884648.527977,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750885945.731113,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750892498.03918,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750897870.114404,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750899830.065444,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750901669.128823,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750905892.269815,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750909714.543447,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750910588.144466,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750913963.754407,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750913990.853961,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750915287.649232,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750915302.5911,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750923577.24153,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750948335.4429321,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750953325.9262319,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750955406.688507,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750955616.2466202,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750956640.654333,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750956703.8280869,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750957897.8070478,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750971139.057242,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750979790.9431372,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750988764.536385,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750989386.2779942,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750990558.649788,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750992005.946848,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750993538.706567,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750993607.339946,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750997098.1069589,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750997345.278688,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751000787.953759,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751005683.7856069,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751036657.263616,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751040678.990514,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751051288.306604,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751053070.4710898,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751055864.906048,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751069359.845797,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751069373.265069,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751069394.7319021,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751072529.210357,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751073901.501051,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751075012.93064,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751075172.15272,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751077936.970045,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751085095.170138,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751126046.802347,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1751127772.890872,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751127973.3544312,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751133056.373982,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751133570.556648,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1751147015.150598,breathingExercise,False,6,instagram
