interventionDuration,app,resolution,isReIntervention,timezone,interventionType,timestamp,timeIntervalUntilReIntervention,purpose
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752075173.513967,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1752075339.464294,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752075412.9741611,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752075909.637106,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752076045.990768,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752076183.65604,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752077018.691062,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752077612.767241,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752089031.044119,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1752121324.13862,,
,instagram,openedApp,False,Asia/Kolkata,,1752129848.814742,,
,instagram,closedApp,False,Asia/Kolkata,,1752129908.814742,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1752129908.814742,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752129937.115139,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752130076.1954741,,
