interventionType,app,interventionDuration,timestamp,isReIntervention,resolution,timezone,purpose
breathingExercise,youtube,6.0,1750254143.5445461,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750277109.9761338,False,dismissedAppOpening,Asia/Kolkata,
breathingExercise,youtube,6.0,1750277276.1504002,False,openedApp,Asia/Kolkata,Escape / Avoid
,youtube,,1750254146.88942,False,closedApp,Asia/Kolkata,
,youtube,,1750254486.5416489,False,closedApp,Asia/Kolkata,
,youtube,,1750255032.33213,False,closedApp,Asia/Kolkata,
,youtube,,1750255032.859057,False,closedApp,Asia/Kolkata,
,youtube,,1750277966.451235,False,closedApp,Asia/Kolkata,
,youtube,,1750278057.305084,False,closedApp,Asia/Kolkata,
,youtube,,1750280212.265429,False,closedApp,Asia/Kolkata,
breathingExercise,youtube,6.0,1750331104.3087711,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750336699.5746632,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750338676.636148,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750402313.1455169,False,dismissedAppOpening,Asia/Kolkata,
breathingExercise,youtube,6.0,1750402329.427974,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750406829.466041,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750416113.853713,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750425883.776274,False,dismissedAppOpening,Asia/Kolkata,
,youtube,,1750331128.279727,False,closedApp,Asia/Kolkata,
,youtube,,1750331199.460713,False,closedApp,Asia/Kolkata,
,youtube,,1750331252.479347,False,closedApp,Asia/Kolkata,
,youtube,,1750331354.058106,False,closedApp,Asia/Kolkata,
,youtube,,1750331994.702549,False,closedApp,Asia/Kolkata,
,youtube,,1750336709.44068,False,closedApp,Asia/Kolkata,
,youtube,,1750337774.934211,False,closedApp,Asia/Kolkata,
,youtube,,1750337778.8880439,False,closedApp,Asia/Kolkata,
,youtube,,1750341998.035985,False,closedApp,Asia/Kolkata,
,youtube,,1750342839.29066,False,closedApp,Asia/Kolkata,
,youtube,,1750402368.715475,False,closedApp,Asia/Kolkata,
,youtube,,1750402368.90792,False,closedApp,Asia/Kolkata,
,youtube,,1750402615.5018911,False,closedApp,Asia/Kolkata,
,youtube,,1750406831.80554,False,closedApp,Asia/Kolkata,
,youtube,,1750408681.043036,False,closedApp,Asia/Kolkata,
,youtube,,1750416293.3224459,False,closedApp,Asia/Kolkata,
,youtube,,1750416294.816124,False,closedApp,Asia/Kolkata,
,youtube,,1750416296.114311,False,closedApp,Asia/Kolkata,
,youtube,,1750417946.629869,False,closedApp,Asia/Kolkata,
,youtube,,1750418007.380866,False,closedApp,Asia/Kolkata,
,youtube,,1750418018.221302,False,closedApp,Asia/Kolkata,
,youtube,,1750418019.346919,False,closedApp,Asia/Kolkata,
,youtube,,1750418911.119111,False,closedApp,Asia/Kolkata,
,youtube,,1750418912.077822,False,closedApp,Asia/Kolkata,
,youtube,,1750420588.081349,False,closedApp,Asia/Kolkata,
,youtube,,1750420593.007619,False,closedApp,Asia/Kolkata,
,youtube,,1750421870.338907,False,closedApp,Asia/Kolkata,
breathingExercise,youtube,6.0,1750425901.7473211,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750434287.72092,False,openedApp,Asia/Kolkata,Escape / Avoid
