interventionType,isReIntervention,timezone,interventionDuration,timestamp,resolution,app,purpose,timeIntervalUntilReIntervention
,False,Asia/Kolkata,,1753030954.4570432,closedApp,instagram,,
,False,Asia/Kolkata,,1753030954.4570432,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1753067307.2552981,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1753068606.356217,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1753071846.21456,openedApp,youtube,Message,
,False,Asia/Kolkata,,1753078358.5296369,openedApp,instagram,,
,False,Asia/Kolkata,,1753078538.5296369,closedApp,instagram,,
,False,Asia/Kolkata,,1753078538.5296369,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1753078629.2840319,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753096477.49035,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1753107055.32556,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753154832.680767,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753156222.532799,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753156607.8645182,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753158085.743226,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753158263.236213,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753158800.975009,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753159481.233323,openedApp,youtube,Stay In the Loop,
breathingExercise,False,Asia/Kolkata,6.0,1753161309.47766,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753162049.590334,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753162340.4969249,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753163542.380055,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753164469.674803,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753175488.387373,openedApp,youtube,To learn,
breathingExercise,False,Asia/Kolkata,6.0,1753257088.061277,openedApp,instagram,Message,
breathingExercise,False,Asia/Kolkata,6.0,1753277986.127716,openedApp,instagram,Message,
,False,Asia/Kolkata,,1753278804.364789,openedApp,instagram,,
,False,Asia/Kolkata,,1753278984.36479,closedApp,instagram,,
,False,Asia/Kolkata,,1753278984.36479,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1753279300.3221688,openedApp,instagram,Post something,
breathingExercise,False,Asia/Kolkata,6.0,1753290368.515547,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1753290638.257011,openedApp,instagram,Relax,
