resolution,interventionDuration,interventionType,timestamp,timezone,timeIntervalUntilReIntervention,app,isReIntervention
dismissedAppOpening,6.0,askForTimeLimit,1752194673.109941,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752197033.141632,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,breathingExercise,1752197232.739225,America/Sao_Paulo,420.0,instagram,True
openedApp,6.0,askForTimeLimit,1752197491.496429,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752197597.564287,America/Sao_Paulo,120.0,instagram,False
openedApp,6.0,askForTimeLimit,1752197938.7687669,America/Sao_Paulo,120.0,instagram,False
openedApp,6.0,askForTimeLimit,1752228793.447669,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752228985.748567,America/Sao_Paulo,240.0,tikTok,False
openedApp,6.0,breathingExercise,1752229159.1264691,America/Sao_Paulo,600.0,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752229820.367872,America/Sao_Paulo,,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752229943.282845,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752232386.197665,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752232843.297605,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752233112.002946,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752233249.5190349,America/Sao_Paulo,180.0,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752233322.822901,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752233426.263026,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752234810.2679539,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752236313.951324,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752236617.043791,America/Sao_Paulo,1200.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752238531.663094,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752239012.900337,America/Sao_Paulo,1380.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752239255.43288,America/Sao_Paulo,1320.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752239447.254123,America/Sao_Paulo,1140.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752239977.276227,America/Sao_Paulo,660.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752243151.112136,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752247523.332886,America/Sao_Paulo,180.0,instagram,False
