resolution,timezone,timestamp,interventionType,timeIntervalUntilReIntervention,isReIntervention,interventionDuration,app,purpose
openedApp,Europe/Berlin,1752080359.073975,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1752081416.454915,askForTimeLimit,300.0,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1752081817.099478,breathingExercise,,False,6,tikTok,
openedApp,Europe/Berlin,1752081818.630887,askForTimeLimit,780.0,False,6,instagram,
openedApp,Europe/Berlin,1752084645.002377,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1752085191.495506,askForTimeLimit,660.0,False,6,tikTok,
openedApp,Europe/Berlin,1752085469.8780851,askForTimeLimit,660.0,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1752085989.635477,askForTimeLimit,,False,6,tikTok,
openedApp,Europe/Berlin,1752087978.570761,askForTimeLimit,1080.0,False,6,tikTok,
openedApp,Europe/Berlin,1752088170.235085,askForTimeLimit,1260.0,False,6,tikTok,
openedApp,Europe/Berlin,1752089724.639364,askForTimeLimit,60.0,False,6,instagram,
openedApp,Europe/Berlin,1752090115.95502,askForTimeLimit,600.0,False,6,tikTok,
openedApp,Europe/Berlin,1752152461.0225759,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1752156541.5830688,askForTimeLimit,420.0,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1752156986.843443,askForTimeLimit,,False,6,tikTok,
openedApp,Europe/Berlin,1752162546.951066,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1752162934.008473,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1752163591.3060431,askForTimeLimit,660.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1752163884.4642072,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1752169003.743829,askForTimeLimit,660.0,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1752169630.608405,askForTimeLimit,,False,6,tikTok,
openedApp,Europe/Berlin,1752169634.889786,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1752220743.9574819,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1752227175.3641129,askForTimeLimit,660.0,False,6,instagram,
openedApp,Europe/Berlin,1752228023.1686568,askForTimeLimit,660.0,False,6,instagram,
openedApp,Europe/Berlin,1752228791.573053,askForTimeLimit,660.0,False,6,instagram,
openedApp,Europe/Berlin,1752229028.729792,askForTimeLimit,600.0,False,6,tikTok,
openedApp,Europe/Berlin,1752229224.690275,askForTimeLimit,900.0,False,6,instagram,
openedApp,Europe/Berlin,1752229381.344349,askForTimeLimit,660.0,False,6,tikTok,
