isReIntervention,timestamp,interventionType,app,resolution,interventionDuration,timezone,purpose
False,1753304183.7450051,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753310028.4199991,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753311832.150498,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753311836.08494,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753311839.265554,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753311842.106835,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753311896.581818,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753315348.5733309,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753315729.12051,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Relax
False,1753316065.293791,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753320805.339798,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753321032.821844,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753321454.694957,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753321532.203473,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753321842.732197,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753327151.731962,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753327308.451688,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753327322.58243,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Post something
False,1753332939.021683,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753332969.154197,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753334101.302215,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753334209.7698789,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753366107.0634909,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753367501.0653028,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753375133.7524161,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753375691.8908339,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753376255.880261,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753378719.508996,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753378721.332285,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753380599.8125129,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
