interventionDuration,timestamp,timezone,app,resolution,isReIntervention,interventionType
3,1753460100.789758,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753461538.294518,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753461722.339445,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753473683.936383,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753473690.7588701,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753473696.192899,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753473699.6485848,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753473701.846354,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753473704.008831,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753473706.377445,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753473710.333447,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753473712.1956291,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753477435.4375901,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753477439.608227,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753478720.005972,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753480835.644075,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753483164.89249,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753483238.988076,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753483247.656589,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753483521.961765,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753484636.602652,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753484799.256259,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753502540.178238,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753505103.2329369,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753505106.1247911,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753505110.997912,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753505112.567892,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753505113.989027,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753512125.443907,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753512136.334995,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753524663.3080559,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753533033.1441588,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753533769.350819,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753535557.883944,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753547884.6472611,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753547962.878374,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753548087.207673,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753548278.835816,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753548390.246356,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753548641.7387629,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753548748.5723,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753550593.249974,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753552624.298717,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753552998.834435,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753557060.89009,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753557720.2487168,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753564905.274524,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753565123.49163,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753565144.5611238,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753566348.127839,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753567272.336091,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753567390.548266,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753567682.724815,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753568520.636163,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753597842.1036038,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
