timestamp,app,interventionType,resolution,isReIntervention,timezone,interventionDuration,timeIntervalUntilReIntervention,purpose
1752860753.676358,tikTok,,closedApp,False,America/Montevideo,,,
1752860935.7640018,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752861025.1134582,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,420.0,Stay In the Loop
1752861054.615514,tikTok,,closedApp,False,America/Montevideo,,,
1752861306.106936,tikTok,,closedApp,False,America/Montevideo,,,
1752861408.264799,tikTok,,closedApp,False,America/Montevideo,,,
1752861717.494617,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752861951.382633,tikTok,,closedApp,False,America/Montevideo,,,
1752861965.723835,tikTok,,closedApp,False,America/Montevideo,,,
1752862140.362781,tikTok,,closedApp,False,America/Montevideo,,,
1752862401.873402,tikTok,,closedApp,False,America/Montevideo,,,
1752862578.45649,tikTok,,closedApp,False,America/Montevideo,,,
1752862749.2844172,tikTok,,closedApp,False,America/Montevideo,,,
1752863082.420927,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Stay In the Loop
1752863202.145345,tikTok,,closedApp,False,America/Montevideo,,,
1752863317.377904,tikTok,,closedApp,False,America/Montevideo,,,
1752863603.41894,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Stay In the Loop
1752863878.553096,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752863897.613336,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752864266.934541,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,420.0,Stay In the Loop
1752864501.333187,tikTok,,closedApp,False,America/Montevideo,,,
1752864513.5481791,instagram,breathingExercise,openedApp,False,America/Montevideo,3.0,300.0,Stay In the Loop
1752864688.3171391,instagram,,closedApp,False,America/Montevideo,,,
1752864704.742635,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,660.0,Stay In the Loop
1752865370.4405088,tikTok,,closedApp,False,America/Montevideo,,,
