participant_id,condition,phase,study_week,attempted,dismissed,executed,delay_type,delay_secs
C7DA69EA-1F1F-428A-9AE5-4BB959704E04,ABC,phase2,2,58,10,48,A,3
C7DA69EA-1F1F-428A-9AE5-4BB959704E04,ABC,phase2,3,96,39,57,B,6
C7DA69EA-1F1F-428A-9AE5-4BB959704E04,ABC,phase2,4,46,14,32,B,6
C7DA69EA-1F1F-428A-9AE5-4BB959704E04,ABC,phase2,5,46,8,38,C,10
C7DA69EA-1F1F-428A-9AE5-4BB959704E04,ABC,phase2,6,36,4,32,C,10
C7DDE0E1-15C0-4272-81B0-3C2047CCF0B1,BCC,phase2,1,118,23,95,B,6
C7DDE0E1-15C0-4272-81B0-3C2047CCF0B1,BCC,phase2,2,115,19,96,B,6
C7DDE0E1-15C0-4272-81B0-3C2047CCF0B1,BCC,phase2,3,116,25,91,C,10
C7DDE0E1-15C0-4272-81B0-3C2047CCF0B1,BCC,phase2,4,126,27,99,C,10
C7DDE0E1-15C0-4272-81B0-3C2047CCF0B1,BCC,phase2,5,80,11,69,C,10
C7DDE0E1-15C0-4272-81B0-3C2047CCF0B1,BCC,phase2,6,51,8,43,C,10
C7DED6D9-251C-43B0-824B-04AC9D5D7DA7,ACC,phase1,1,57,18,39,A,3
