participant_id,condition,dismissed_w1,dismissed_w6,attempted_w1,attempted_w6
6D3223D1-7A19-429D-A319-1A3785C0D662,CCC,1,NA,1,NA
6DADF196-F57A-4AFA-B109-4BE48BE3A407,ACC,55,NA,171,NA
6E11BB6A-EB54-410C-ADDC-FD7FF51C34C9,CCC,59,4,285,53
6EB25B0D-9157-4EE4-BC0F-8108062E1B7B,BCC,71,NA,191,NA
6EEC95F7-9F2A-4780-BB05-68613541F8F7,BCC,79,NA,238,NA
6F33BDBC-7F1D-4D6C-87C0-3C4FDACB2D17,ABC,0,NA,1,NA
6F3B2B74-24BC-4E79-9E7E-7C6BCE59DF04,ABC,37,NA,80,NA
6F66080D-284F-43E7-802B-534209FC7B76,BCC,0,NA,1,NA
6FA0ACD0-45C5-4636-A010-E11C2510DC00,ACC,18,NA,65,NA
70029981-DA1A-4C35-BC13-3AE907986019,CCC,72,7,169,30
70B61B25-BF69-4D4D-97DF-E5003CF81714,BCC,71,12,116,39
70C8C71A-4105-4A6D-AED6-864F1EE39021,ABC,73,NA,415,NA
70D4F4CE-1D75-410B-973A-C2E5B878C061,ACC,26,NA,103,NA
71947624-5A9D-4C53-806C-8B7C403A0A33,BCC,101,NA,343,NA
727887B5-A479-4FBF-8249-117EB00F4FD4,ACC,6,NA,69,NA
72F6101F-66C0-4ABA-86E3-D705A0FB2E57,ABC,28,NA,211,NA
74F757ED-F490-4AF5-ACD1-D2581F54C1C2,BCC,9,NA,42,NA
753209DF-5FD6-49EA-A4EE-88C59E5C4B62,CCC,3,NA,3,NA
7569606E-4960-490E-9D7E-53DBC687E3F4,ABC,0,NA,1,NA
75A6FDFD-2574-4B1B-B67C-E36C98569080,ABC,34,NA,168,NA
75C19B26-A150-48CD-8D98-31E6A2BF2C29,ABC,0,NA,2,NA
766DA665-3A69-4E45-848A-70A30C5A3180,CCC,0,NA,1,NA
785CFBBC-CAFB-40CD-8800-B6BF7169724A,ACC,40,NA,130,NA
78A22920-B819-4601-9A9F-4D2E3B4850DE,ABC,17,NA,40,NA
78CE9C3A-2DAA-4316-8AA8-F7D6210B1988,ABC,1,NA,2,NA
78CEF32A-BD37-4BF5-8300-EEBBDBCEC1EA,ABC,63,NA,314,NA
78D5E3CC-5066-493A-8E19-D5B454F70C19,BCC,58,NA,185,NA
78EAE289-A56E-4D6A-8A67-32AD65A4A895,CCC,1,NA,1,NA
78F075C2-D2F5-4BC5-8B75-1B4EB1DE6305,ABC,29,NA,85,NA
78FF8B49-EDC2-4D6C-A454-12797839828F,ACC,15,NA,67,NA
793951EB-205A-4039-B42E-7DC862D01D45,CCC,0,NA,2,NA
79AD1105-6368-4219-B46B-9F29B0A724B0,ACC,1,NA,1,NA
79E93EE0-41B8-47E1-9DC2-CE68EF17733B,BCC,214,NA,258,NA
79FC0E84-6912-4557-867F-A9CC0A42DF94,ACC,81,NA,291,NA
7A7CFACE-5191-48CC-A53B-E17CB20E9AF1,BCC,6,NA,26,NA
7A92CEC5-AD85-4AD7-86C0-6FCA240082F7,BCC,44,NA,114,NA
7B1B62F4-C59E-412D-A8A0-6DEF78A9EC3E,ACC,1,NA,1,NA
7B93BE54-1900-46E2-8645-AE2D2B4D4B8B,CCC,54,NA,126,NA
