timezone,isReIntervention,purpose,app,interventionType,interventionDuration,timestamp,resolution
Asia/Kolkata,False,,whastapp,,,1753203295.004016,closedApp
Asia/Kolkata,False,,whastapp,,,1753203295.004016,dismissedAppOpening
Asia/Kolkata,False,,whastapp,,,1753202397.269093,openedApp
Asia/Kolkata,False,,whastapp,,,1753203297.269093,closedApp
Asia/Kolkata,False,,whastapp,,,1753203297.269093,dismissedAppOpening
Asia/Kolkata,False,,whastapp,,,1753202407.927347,openedApp
Asia/Kolkata,False,,whastapp,,,1753203307.927347,closedApp
Asia/Kolkata,False,,whastapp,,,1753203307.9273481,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1753203334.173359,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1753204754.051415,openedApp
