timestamp,app,interventionType,resolution,timezone,isReIntervention,interventionDuration,purpose
1751446973.5764642,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751447878.03621,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751449798.409316,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751452746.0606809,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751452875.546081,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751454726.165996,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751456128.3231292,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751457340.31655,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751457380.668085,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751457737.848631,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751459140.864286,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751459202.405915,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751460659.9254131,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751464771.79563,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751473033.5717359,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751473102.342208,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751473774.278029,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751474994.1356459,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751477265.598465,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751477309.7410421,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751477316.060221,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751487181.339014,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
