timestamp,app,timezone,isReIntervention,resolution,interventionType,interventionDuration,purpose,timeIntervalUntilReIntervention
1749600157.188075,tikTok,America/Los_Angeles,False,closedApp,,,,
1749600160.379856,tikTok,America/Los_Angeles,True,dismissedAppOpening,breathingExercise,1.5,,
1749600226.502428,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749601098.364577,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,900.0
1749601665.2037802,tikTok,America/Los_Angeles,False,closedApp,,,,
1749601770.234026,tikTok,America/Los_Angeles,False,closedApp,,,,
1749604152.180624,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749614730.3068771,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749614832.6290631,tikTok,America/Los_Angeles,False,closedApp,,,,
1749615862.449634,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,420.0
1749616303.15575,tikTok,America/Los_Angeles,True,openedApp,breathingExercise,1.5,Entertainment,600.0
1749616294.605454,tikTok,America/Los_Angeles,False,closedApp,,,,
1749616898.363395,tikTok,America/Los_Angeles,False,closedApp,,,,
1749652575.87095,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,900.0
1749653048.645862,tikTok,America/Los_Angeles,False,closedApp,,,,
1749654680.720749,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,420.0
1749655111.654313,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749655276.032947,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749659426.489943,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,1260.0
1749659903.434026,tikTok,America/Los_Angeles,False,closedApp,,,,
1749660355.464186,tikTok,America/Los_Angeles,False,closedApp,,,,
1749660590.38652,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749664628.1696382,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,1800.0
1749666034.432034,tikTok,America/Los_Angeles,False,closedApp,,,,
1749672733.6158562,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749672965.294907,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,840.0
1749673808.4951348,tikTok,America/Los_Angeles,False,closedApp,,,,
1749677756.032537,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,1800.0
1749678088.0230742,tikTok,America/Los_Angeles,False,closedApp,,,,
1749678200.257936,tikTok,America/Los_Angeles,False,closedApp,,,,
1749678438.011426,tikTok,America/Los_Angeles,False,closedApp,,,,
1749678604.475874,tikTok,America/Los_Angeles,False,closedApp,,,,
1749685092.882926,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749685427.189141,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,1800.0
1749685734.480777,tikTok,America/Los_Angeles,False,closedApp,,,,
1749686560.4491138,tikTok,America/Los_Angeles,False,closedApp,,,,
1749687070.257506,tikTok,America/Los_Angeles,False,closedApp,,,,
1749687407.0934582,tikTok,America/Los_Angeles,False,closedApp,,,,
1749687443.669364,facebook,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,
1749688440.823102,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749694006.0861611,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,540.0
1749697145.093796,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Toilet,540.0
1749697620.3054872,tikTok,America/Los_Angeles,False,closedApp,,,,
1749697889.365394,tikTok,America/Los_Angeles,False,closedApp,,,,
1749697997.92886,tikTok,America/Los_Angeles,False,closedApp,,,,
1749698021.193546,tikTok,America/Los_Angeles,False,closedApp,,,,
1749698481.751318,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749698802.479994,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749700799.743402,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749700875.727293,facebook,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749700877.213225,facebook,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749700879.356248,facebook,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749700891.404036,facebook,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749704994.5063848,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749735472.69484,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,540.0
1749736018.442068,tikTok,America/Los_Angeles,False,closedApp,,,,
1749736804.462534,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,1800.0
1749737593.55175,tikTok,America/Los_Angeles,False,closedApp,,,,
1749739048.5673609,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,360.0
1749739373.9221048,tikTok,America/Los_Angeles,False,closedApp,,,,
