timezone,timestamp,interventionType,app,resolution,interventionDuration,isReIntervention,timeIntervalUntilReIntervention,purpose
America/Argentina/Buenos_Aires,1752365236.406925,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752365555.3037071,breathingExercise,instagram,openedApp,6.0,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752366214.591556,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752366540.610293,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752368332.380894,breathingExercise,instagram,dismissedAppOpening,6.0,False,,
America/Argentina/Buenos_Aires,1752368383.3680139,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752368861.050187,breathingExercise,instagram,openedApp,6.0,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752414336.37608,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752415557.1912131,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752415884.1237779,breathingExercise,instagram,openedApp,6.0,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752416192.907865,breathingExercise,instagram,openedApp,6.0,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752434458.583067,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752440404.833724,breathingExercise,instagram,openedApp,6.0,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752441299.771081,breathingExercise,instagram,dismissedAppOpening,6.0,False,,
America/Argentina/Buenos_Aires,1752441302.8181992,breathingExercise,instagram,dismissedAppOpening,6.0,False,,
America/Argentina/Buenos_Aires,1752451169.858618,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752451497.818536,breathingExercise,instagram,openedApp,6.0,True,240.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752451739.448996,breathingExercise,instagram,openedApp,6.0,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752499263.709346,breathingExercise,instagram,openedApp,6.0,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752499492.222211,breathingExercise,instagram,dismissedAppOpening,6.0,False,,
America/Argentina/Buenos_Aires,1752514089.993978,breathingExercise,instagram,openedApp,6.0,False,120.0,Escape / Avoid
America/Argentina/Buenos_Aires,1752548272.4372358,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752589738.756774,breathingExercise,instagram,dismissedAppOpening,6.0,False,,
America/Argentina/Buenos_Aires,1752616341.054281,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752616762.379233,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752619396.403408,breathingExercise,instagram,dismissedAppOpening,6.0,False,,
America/Argentina/Buenos_Aires,1752619416.0026731,breathingExercise,instagram,openedApp,6.0,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752619620.606461,breathingExercise,instagram,openedApp,6.0,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752623318.761773,breathingExercise,instagram,openedApp,6.0,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752623553.968266,breathingExercise,instagram,openedApp,6.0,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752673952.788217,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752686214.767222,breathingExercise,instagram,openedApp,6.0,False,120.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752717147.4612179,breathingExercise,instagram,openedApp,6.0,False,60.0,Stay In the Loop
America/Argentina/Buenos_Aires,1752768408.630217,breathingExercise,instagram,openedApp,6.0,False,300.0,Stay In the Loop
