resolution,timezone,app,interventionDuration,timestamp,isReIntervention,interventionType
openedApp,Africa/Johannesburg,instagram,3.0,1750851303.946152,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750862257.420943,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750866030.4515991,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750869431.470231,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750873619.283616,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750894063.489859,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750917572.470387,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750936600.803265,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750937282.136847,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750937374.5129662,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750937622.1147761,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750938676.070692,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750938685.722705,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750938753.638421,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750938766.7113152,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750939003.0224519,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750939015.1973062,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750949743.328199,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750949792.174175,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750949796.525356,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750949916.609702,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750954139.2789578,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,3.0,1750957681.115326,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750957946.477309,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750966448.403026,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750966727.551278,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,3.0,1750966787.327985,False,breathingExercise
