interventionDuration,timestamp,interventionType,timezone,app,resolution,isReIntervention
1.5,1750011750.029817,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750012325.1004019,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750012413.980671,breathingExercise,Europe/Berlin,instagram,dismissedAppOpening,False
1.5,1750012741.2026072,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750012747.845673,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750013352.017983,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750014961.9972339,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750015146.267891,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750018441.762395,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750020010.646822,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750020066.0337272,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1750047882.44377,breathingExercise,Europe/Berlin,instagram,dismissedAppOpening,False
1.5,1750047889.821011,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750047969.721562,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750048095.171335,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750048598.713211,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750049052.324296,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750049486.326958,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750053765.4173179,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750056076.2507539,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750056081.750402,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750059325.465781,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750067192.983904,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750067374.792749,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750067402.597591,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750072116.3220592,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750072505.8090758,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750075023.851595,breathingExercise,Europe/Berlin,instagram,dismissedAppOpening,False
1.5,1750075065.898065,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750095176.815425,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750096307.1574159,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750097053.355463,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750101148.1632462,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750101169.018326,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750101233.520246,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750101325.229862,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750104655.529774,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1750126615.1679912,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750130931.12218,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750131054.360127,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750132126.9745932,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750132138.306182,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750136830.939921,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750139888.499423,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750140215.643853,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750147117.5035071,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750147522.412807,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750147557.8570871,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750148248.036456,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750149168.151504,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750149403.073973,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750149644.323849,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750154524.573957,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750155723.910903,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1750155759.990178,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1750158694.3174481,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750158731.709126,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1750159127.986545,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1750160629.906818,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750164981.5871968,breathingExercise,Europe/Berlin,snapchat,openedApp,False
