isReIntervention,timezone,timestamp,interventionDuration,interventionType,app,resolution,timeIntervalUntilReIntervention,purpose
True,Europe/Madrid,1752964753.6401,1.5,breathingExercise,whastapp,openedApp,600.0,
False,Europe/Madrid,1752964822.196094,,,whastapp,closedApp,,
False,Europe/Madrid,1752964928.487081,,,whastapp,closedApp,,
False,Europe/Madrid,1752964932.551128,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752965016.790122,,,whastapp,closedApp,,
False,Europe/Madrid,1752965150.998715,,,whastapp,closedApp,,
False,Europe/Madrid,1752965152.3639932,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752965153.5863008,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752965159.581404,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752965397.7796412,,,whastapp,closedApp,,
False,Europe/Madrid,1752965522.068613,,,whastapp,closedApp,,
False,Europe/Madrid,1752967022.0481439,,,whastapp,closedApp,,
False,Europe/Madrid,1752968154.5000448,1.5,breathingExercise,snapchat,openedApp,,
False,Europe/Madrid,1752968584.348103,,,snapchat,closedApp,,
False,Europe/Madrid,1752968679.8837361,,,snapchat,closedApp,,
False,Europe/Madrid,1752968848.835532,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752969081.2334461,,,whastapp,closedApp,,
False,Europe/Madrid,1752969129.9009218,,,whastapp,closedApp,,
False,Europe/Madrid,1752969888.318067,,,whastapp,closedApp,,
False,Europe/Madrid,1752969895.020144,1.5,breathingExercise,whastapp,dismissedAppOpening,,
False,Europe/Madrid,1752969896.663662,1.5,breathingExercise,whastapp,dismissedAppOpening,,
False,Europe/Madrid,1752969898.73448,1.5,breathingExercise,whastapp,dismissedAppOpening,,
False,Europe/Madrid,1752969905.555093,1.5,breathingExercise,whastapp,dismissedAppOpening,,
False,Europe/Madrid,1752969914.011561,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752970524.862505,,,whastapp,closedApp,,
False,Europe/Madrid,1752970538.767624,1.5,breathingExercise,instagram,openedApp,600.0,
False,Europe/Madrid,1752970605.61104,,,instagram,closedApp,,
False,Europe/Madrid,1752971144.5077538,,,instagram,closedApp,,
True,Europe/Madrid,1752971150.4832048,1.5,breathingExercise,instagram,openedApp,300.0,
False,Europe/Madrid,1752971453.280599,,,instagram,closedApp,,
True,Europe/Madrid,1752971459.84513,1.5,breathingExercise,instagram,openedApp,120.0,
False,Europe/Madrid,1752971581.7358608,,,instagram,closedApp,,
True,Europe/Madrid,1752971587.8451629,1.5,breathingExercise,instagram,openedApp,180.0,
False,Europe/Madrid,1752971769.8882809,,,instagram,closedApp,,
False,Europe/Madrid,1753008585.580538,1.5,breathingExercise,snapchat,openedApp,,
False,Europe/Madrid,1753008950.77861,,,snapchat,closedApp,,
False,Europe/Madrid,1753012589.098778,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1753012630.137532,,,whastapp,closedApp,,
False,Europe/Madrid,1753012745.96802,,,whastapp,closedApp,,
False,Europe/Madrid,1753013822.9425058,1.5,breathingExercise,whastapp,openedApp,480.0,
False,Europe/Madrid,1753013900.496908,,,whastapp,closedApp,,
False,Europe/Madrid,1753024407.719964,1.5,breathingExercise,instagram,openedApp,180.0,
False,Europe/Madrid,1753024593.347619,,,instagram,closedApp,,
True,Europe/Madrid,1753024599.134031,1.5,breathingExercise,instagram,openedApp,600.0,
False,Europe/Madrid,1753025201.200618,,,instagram,closedApp,,
True,Europe/Madrid,1753025206.9452438,1.5,breathingExercise,instagram,openedApp,300.0,
True,Europe/Madrid,1753025518.2239609,1.5,breathingExercise,instagram,openedApp,180.0,
False,Europe/Madrid,1753025512.5858312,,,instagram,closedApp,,
False,Europe/Madrid,1753025697.85886,,,instagram,closedApp,,
True,Europe/Madrid,1753025703.2033648,1.5,breathingExercise,instagram,openedApp,240.0,
False,Europe/Madrid,1753026542.179717,1.5,breathingExercise,youtube,openedApp,900.0,
False,Europe/Madrid,1753026608.222281,,,youtube,closedApp,,
False,Europe/Madrid,1753026853.8581681,,,youtube,closedApp,,
False,Europe/Madrid,1753028298.580096,1.5,breathingExercise,youtube,openedApp,720.0,
False,Europe/Madrid,1753028620.671679,,,youtube,closedApp,,
False,Europe/Madrid,1753029028.859649,,,youtube,closedApp,,
True,Europe/Madrid,1753029034.148304,1.5,breathingExercise,youtube,openedApp,900.0,
False,Europe/Madrid,1753029938.045724,,,youtube,closedApp,,
True,Europe/Madrid,1753029943.2961512,1.5,breathingExercise,youtube,openedApp,900.0,
False,Europe/Madrid,1753030070.520421,,,youtube,closedApp,,
False,Europe/Madrid,1753030218.040818,,,youtube,closedApp,,
False,Europe/Madrid,1753030474.990715,,,youtube,closedApp,,
False,Europe/Madrid,1753049401.4405751,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1753053213.4576359,1.5,breathingExercise,instagram,openedApp,120.0,
False,Europe/Madrid,1753053256.45994,,,instagram,closedApp,,
False,Europe/Madrid,1753053285.50309,,,instagram,closedApp,,
False,Europe/Madrid,1753053345.2003589,,,instagram,closedApp,,
True,Europe/Madrid,1753053351.590622,1.5,breathingExercise,instagram,openedApp,300.0,
False,Europe/Madrid,1753053652.7188601,,,instagram,closedApp,,
True,Europe/Madrid,1753053657.8587089,1.5,breathingExercise,instagram,openedApp,180.0,
False,Europe/Madrid,1753053840.7180371,,,instagram,closedApp,,
True,Europe/Madrid,1753053848.78322,1.5,breathingExercise,instagram,openedApp,480.0,
False,Europe/Madrid,1753054333.0302591,,,instagram,closedApp,,
False,Europe/Madrid,1753054348.893893,1.5,breathingExercise,instagram,openedApp,420.0,
False,Europe/Madrid,1753054770.222805,,,instagram,closedApp,,
True,Europe/Madrid,1753054778.6841168,1.5,breathingExercise,instagram,openedApp,180.0,
