timezone,interventionType,resolution,timestamp,app,isReIntervention,interventionDuration
Africa/Cairo,breathingExercise,openedApp,1753129096.74783,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753132932.633456,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753132977.521302,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753132990.927771,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753141731.812078,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753141874.915985,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753143400.656884,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753145005.364349,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753145554.500722,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753145723.62308,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753148023.2257261,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753149133.5820599,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753149907.076381,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753150022.386378,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753166726.1382399,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753178737.1891742,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753178811.301527,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753182340.2696118,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753183433.951829,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753183503.444484,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753183632.2040281,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753183953.175358,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753184602.928452,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753184843.369197,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753189346.7129788,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753189544.7012038,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753192875.43977,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753193563.4873161,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753197681.1021872,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753200454.7881231,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753204018.175647,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753204112.672538,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753207420.117398,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753207855.29514,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753214173.387761,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753214194.932071,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753215695.642709,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753216030.181149,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753216760.3146892,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753217086.34098,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753217362.480139,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753217441.244849,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753218395.799148,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753219257.2035708,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753219318.667141,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753219653.692678,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753219810.81798,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753220649.311758,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753221246.4972382,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753222581.7531,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753223443.113054,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753223877.4973989,instagram,False,1.5
