timezone,interventionDuration,app,interventionType,isReIntervention,timestamp,resolution,timeIntervalUntilReIntervention
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750456163.85238,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750457603.380791,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750457866.37936,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750457880.886889,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750457939.402555,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750461047.13692,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750461108.1364388,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750461222.870475,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750461333.8818722,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750464520.1308808,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750466410.2355819,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750466422.833774,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750468606.952697,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750471288.426875,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750471486.36758,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750504813.200702,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750505234.4150991,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750505992.141127,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750506380.9666061,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750506694.701676,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750511439.1420832,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750511661.27041,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750512032.650161,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750512051.3987122,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750517906.278204,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750518675.827756,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750520112.2870421,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750520304.321604,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750522561.27677,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750527407.63029,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750528258.6133919,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750528261.244004,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750528269.62971,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750531268.537648,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750538672.235271,openedApp,300.0
